Z	A	Isomer	Sym	5	8	10	15	20	25	30	40	50	60	80	100(keV); reaction rate including SEF in cm3/mole/s
1	1		H	7.28e+4	-	6.27e+4	5.79e+4	5.52e+4	5.33e+4	5.20e+4	5.09e+4	5.10e+4	5.16e+4	5.42e+4	5.72e+4	
1	2		H	2.61e+2	-	3.18e+2	3.64e+2	4.06e+2	4.37e+2	5.32e+2	6.15e+2	6.87e+2	7.78e+2	9.85e+2	1.46e+3	
2	3		He	-	-	-	-	-	-	1.27e+3	-	-	-	-	-	
3	7		Li	6.45e+3	-	6.44e+3	6.46e+3	6.45e+3	6.50e+3	6.50e+3	6.79e+3	7.00e+3	7.23e+3	7.84e+3	8.48e+3	
4	9		Be	1.03e+3	-	1.14e+3	1.24e+3	1.35e+3	1.45e+3	1.56e+3	1.75e+3	1.93e+3	2.12e+3	2.47e+3	2.76e+3	
6	12		C	7.75e+2	-	1.09e+3	1.39e+3	1.71e+3	2.02e+3	2.32e+3	2.94e+3	3.56e+3	4.18e+3	5.42e+3	6.61e+3	
6	13		C	4.48e+2	-	7.03e+2	9.88e+2	1.47e+3	2.20e+3	3.16e+3	5.55e+3	7.96e+3	9.78e+3	1.23e+4	1.37e+4	
6	14		C	2.22e+2	3.53e+2	4.40e+2	6.54e+2	8.63e+2	1.07e+3	1.27e+3	1.66e+3	2.04e+3	2.41e+3	3.10e+3	3.75e+3	
7	14		N	1.12e+4	-	8.74e+3	7.53e+3	6.98e+3	6.30e+3	6.15e+3	5.71e+3	5.23e+3	4.66e+3	4.65e+3	4.38e+3	
7	15		N	1.53e+2	-	3.02e+2	4.44e+2	5.86e+2	7.24e+2	8.68e+2	1.12e+3	1.39e+3	1.65e+3	2.13e+3	2.65e+3	
8	16		O	9.75e+2	-	1.90e+3	2.85e+3	3.78e+3	4.77e+3	5.67e+3	7.59e+3	9.44e+3	1.14e+4	1.51e+4	1.88e+4	
8	18		O	2.25e+2	-	4.38e+2	6.42e+2	8.51e+2	1.08e+3	1.32e+3	1.86e+3	2.50e+3	3.30e+3	5.42e+3	7.96e+3	
9	19		F	7.28e+4	-	3.52e+5	4.73e+5	5.10e+5	5.02e+5	4.76e+5	4.29e+5	3.84e+5	3.57e+5	2.91e+5	2.71e+5	
10	20		Ne	5.33e+3	-	5.31e+3	5.56e+3	7.27e+3	1.14e+4	1.77e+4	3.27e+4	4.64e+4	5.44e+4	6.59e+4	6.86e+4	
10	21		Ne	-	-	-	-	2.06e+5	2.17e+5	2.22e+5	2.23e+5	2.29e+5	-	-	-	
10	22		Ne	8.04e+3	8.11e+3	8.12e+3	8.17e+3	8.22e+3	8.38e+3	8.59e+3	9.58e+3	1.17e+4	1.45e+4	2.06e+4	2.57e+4	
11	23		Na	8.46e+5	-	4.44e+5	3.56e+5	3.26e+5	2.97e+5	3.11e+5	2.90e+5	2.87e+5	2.93e+5	3.13e+5	3.21e+5	
12	24		Mg	6.64e+3	-	4.10e+4	1.36e+5	2.78e+5	3.91e+5	4.88e+5	6.15e+5	6.49e+5	6.48e+5	6.52e+5	5.67e+5	
12	25		Mg	2.89e+5	-	4.26e+5	5.74e+5	7.24e+5	8.36e+5	9.45e+5	1.06e+6	1.09e+6	1.11e+6	1.06e+6	9.70e+5	
12	26		Mg	6.21e+3	-	7.75e+3	1.02e+4	1.33e+4	1.60e+4	1.86e+4	2.44e+4	3.07e+4	3.44e+4	5.45e+4	7.14e+4	
13	26		Al	6.03e+5	-	5.97e+5	5.84e+5	5.66e+5	5.52e+5	5.46e+5	5.28e+5	4.95e+5	4.80e+5	4.56e+5	4.28e+5	
13	27		Al	6.74e+5	-	5.79e+5	5.63e+5	5.54e+5	5.52e+5	5.52e+5	5.62e+5	5.71e+5	5.84e+5	6.02e+5	6.19e+5	
14	28		Si	8.43e+3	-	3.57e+4	9.69e+4	1.47e+5	1.84e+5	2.09e+5	2.33e+5	2.51e+5	2.54e+5	2.60e+5	2.51e+5	
14	29		Si	5.16e+5	-	1.02e+6	1.15e+6	1.13e+6	1.06e+6	9.69e+5	8.22e+5	6.96e+5	5.90e+5	4.62e+5	3.82e+5	
